,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,Label1,rLat,rLon,cLat,cLon
4937,98.6473405,265.9472785653718,55.55555555555556,107.68124383333334,268.26843924366955,33.33333333333333,0.0,0.0,0.0,114.267494,0.0,5.555555555555555,105.65373600000001,151.05515999999994,11.11111111111111,115.7901,0.0,5.555555555555555,110.02459,0.0,5.555555555555555,109.42696616666666,153.45530393878633,33.33333333333333,111.14334579999999,146.1382185308325,27.77777777777778,0.0,0.0,0.0,118.608952,16.62552000000005,11.11111111111111,0.0,0.0,0.0,116.318794,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.193314,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,46.5176288,6.5638448,46.517536209523676,6.563878885714301
4938,88.32730342857144,336.8894418789587,41.17647058823529,112.4888642,229.99835373027295,29.411764705882355,122.437759,0.0,5.88235294117647,106.10709866666666,248.9104200612823,17.647058823529413,108.539017,0.0,5.88235294117647,108.6375716,130.85507154404274,29.411764705882355,113.973228,0.0,5.88235294117647,106.263237,304.037069413738,29.411764705882355,100.487717,0.0,5.88235294117647,0.0,0.0,0.0,114.318794,0.0,5.88235294117647,0.0,0.0,0.0,117.267494,0.0,5.88235294117647,116.651466,0.0,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.09583649999999,46.86630000000008,11.76470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,46.5178784,6.5627936,46.518048972549025,6.5627323
4939,96.4848266,260.608469444174,64.51612903225806,109.75406172727271,273.6310286262009,70.96774193548387,112.03042483333333,137.27038572595805,38.70967741935484,123.225512,12.49652496733405,19.35483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.539017,0.0,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,77,46.5197664,6.5671404,46.519755853333294,6.567061308333335
4940,94.69796244444444,246.68405206063173,58.06451612903226,107.53069477777778,115.45133330857374,58.06451612903226,0.0,0.0,0.0,115.13705433333332,141.41847147168414,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0691985,192.9163552463099,25.806451612903224,0.0,0.0,0.0,0.0,0.0,0.0,112.682472,0.0,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.957264,33.313440000000014,12.903225806451612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,46.5190816,6.5636072,46.51903835447156,6.563451657723571
4941,88.5805337142857,139.68128748957727,42.42424242424242,115.263958,13.591160000000002,12.121212121212121,116.12307100000002,119.792768787863,36.36363636363637,117.626133,96.13112000000001,12.121212121212121,0.0,0.0,0.0,111.72652033333333,135.66273833937197,36.36363636363637,116.193314,0.0,6.0606060606060606,112.014633,63.954158473965244,18.181818181818183,116.278069,0.0,6.0606060606060606,0.0,0.0,0.0,114.477766,120.21854359724712,24.242424242424242,0.0,0.0,0.0,0.0,0.0,0.0,123.774582,0.0,6.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,46.5203552,6.5644568,46.52032516571423,6.564589486666664
4942,94.42373757142857,227.25434987751566,48.275862068965516,113.26780683333334,128.3728983042749,41.37931034482759,111.420121,173.82192198210308,68.96551724137932,120.46798966666665,29.69703720858051,20.689655172413794,0.0,0.0,0.0,111.749496,0.0,6.896551724137931,0.0,0.0,0.0,127.999496,0.0,6.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.680115,0.0,6.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,46.520784,6.5647644,46.5208624784314,6.564835737254907
4943,86.48931125,336.6967356084671,34.78260869565217,117.96740750000001,68.50830000000002,17.391304347826086,113.2136804,146.48122826612314,86.95652173913044,0.0,0.0,0.0,0.0,0.0,0.0,122.11760199999999,9.764054721244875,26.08695652173913,0.0,0.0,0.0,116.620361,65.88531999999987,17.391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,124.635674,0.0,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.174179,0.0,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,46.5185536,6.5678544,46.518542643137295,6.568013163725491
4944,83.8299688888889,229.3316868679692,56.25,106.01270299999999,64.76881996641283,25.0,118.170522,98.70650496029249,18.75,113.8541415,26.433099999999854,12.5,0.0,0.0,0.0,113.973228,0.0,12.5,119.937759,0.0,6.25,113.81659525,100.45357057029831,25.0,118.849426,0.0,6.25,0.0,0.0,0.0,113.199051,67.85078229919142,18.75,0.0,0.0,0.0,117.599426,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.8871,0.0,6.25,117.430115,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,46.518112,6.5657548,46.51814256344088,6.5658387741935424
4945,95.2881418888889,207.92734543243287,58.06451612903226,107.36014075,154.8622569138287,51.61290322580645,122.560856,160.87356,12.903225806451612,112.503489,134.90040960481434,19.35483870967742,0.0,0.0,0.0,120.385674,0.0,6.451612903225806,0.0,0.0,0.0,114.574976,287.73229775112145,25.806451612903224,0.0,0.0,0.0,0.0,0.0,0.0,113.64310449999999,78.42529999999982,12.903225806451612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.957264,33.313440000000014,12.903225806451612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,46.519152,6.5634964,46.51903790909094,6.563451431818176
4946,80.083605875,135.07632740464248,45.714285714285715,109.74068933333335,205.7186223678787,17.142857142857142,109.7490005,167.00713999999977,11.428571428571429,103.57359054545454,188.49130933066587,62.857142857142854,0.0,0.0,0.0,113.193314,0.0,5.714285714285714,0.0,0.0,0.0,108.92605025,173.42010522354178,22.857142857142858,109.973228,0.0,5.714285714285714,0.0,0.0,0.0,113.2075845,92.81937999999997,11.428571428571429,0.0,0.0,0.0,113.078331,0.0,5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.36144999999999,43.758239999999944,11.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,46.5184128,6.566308,46.518452368794165,6.566169319148944
