,Cluster size,Correct Points
0,4.0,0.845945945945946
1,1.5,0.8686486486486487
2,0.75,0.9448648648648649
3,0.6785714285714286,0.9524324324324325
4,0.6607142857142857,0.9645945945945946
5,0.5714285714285714,0.9664864864864865
6,0.5178571428571429,0.9740540540540541
7,0.5357142857142857,0.977027027027027
8,0.5178571428571429,0.972972972972973
9,0.5,0.9756756756756757
10,0.5535714285714286,0.9681081081081081
11,0.5178571428571429,0.9791891891891892
12,0.5,0.9754054054054054
13,0.5178571428571429,0.9775675675675676
14,0.5357142857142857,0.9737837837837838
15,0.5357142857142857,0.9724324324324324
16,0.5,0.9716216216216216
17,0.5,0.9683783783783784
18,0.5,0.9678378378378378
19,0.5,0.9683783783783784
20,0.42857142857142855,0.9689189189189189
21,0.42857142857142855,0.9654054054054054
22,0.44642857142857145,0.962972972972973
23,0.4642857142857143,0.9521621621621622
24,0.4642857142857143,0.9521621621621622
