,Cluster size,Correct Points
0,1.1785714285714286,0.8718918918918919
1,0.8392857142857143,0.8986486486486487
2,0.75,0.902972972972973
3,0.7321428571428571,0.9062162162162162
4,0.6785714285714286,0.914004914004914
5,0.6428571428571429,0.9113513513513514
6,0.625,0.9151351351351351
7,0.625,0.9154054054054054
8,0.6071428571428571,0.9278378378378378
9,0.5892857142857143,0.9324324324324325
10,0.5535714285714286,0.9327027027027027
11,0.42857142857142855,0.9456756756756757
12,0.375,0.9443243243243243
13,0.375,0.9437837837837838
14,0.375,0.9443243243243243
15,0.30357142857142855,0.9456756756756757
